Close,High,Low,Open,Volume
NIFTYBEES.NS,NIFTYBEES.NS,NIFTYBEES.NS,NIFTYBEES.NS,NIFTYBEES.NS
274.3299865722656,274.44000244140625,274.3299865722656,274.3500061035156,35998
274.44000244140625,274.44000244140625,274.3900146484375,274.3900146484375,22789
274.3500061035156,274.44000244140625,274.3500061035156,274.44000244140625,49169
274.489990234375,274.489990234375,274.3500061035156,274.3500061035156,34464
274.45001220703125,274.5,274.4100036621094,274.4700012207031,77540
274.45001220703125,274.45001220703125,274.4200134277344,274.45001220703125,11355
274.489990234375,274.489990234375,274.45001220703125,274.45001220703125,17922
274.5,274.5799865722656,274.5,274.5799865722656,82181
274.4700012207031,274.489990234375,274.4700012207031,274.489990234375,32442
274.4599914550781,274.54998779296875,274.4599914550781,274.5299987792969,48405
274.3399963378906,274.44000244140625,274.30999755859375,274.44000244140625,49160
274.20001220703125,274.32000732421875,274.1600036621094,274.32000732421875,9318
274.1499938964844,274.19000244140625,274.1499938964844,274.17999267578125,22164
274.2099914550781,274.2200012207031,274.2099914550781,274.2200012207031,5808
274.07000732421875,274.17999267578125,274.07000732421875,274.1700134277344,20247
274.1300048828125,274.1300048828125,274.0199890136719,274.0400085449219,25087
274.17999267578125,274.17999267578125,274.1199951171875,274.1400146484375,9604
274.20001220703125,274.2200012207031,274.20001220703125,274.20001220703125,7143
274.2699890136719,274.3299865722656,274.25,274.260009765625,18748
274.30999755859375,274.3699951171875,274.17999267578125,274.32000732421875,16732
274.19000244140625,274.30999755859375,274.1600036621094,274.2699890136719,14284
274.2799987792969,274.2799987792969,274.1600036621094,274.1600036621094,101824
274.3399963378906,274.3500061035156,274.2200012207031,274.29998779296875,4041
274.3500061035156,274.3599853515625,274.29998779296875,274.3399963378906,14807
274.45001220703125,274.4700012207031,274.3500061035156,274.3500061035156,73428
274.29998779296875,274.45001220703125,274.29998779296875,274.3500061035156,11906
274.3999938964844,274.3999938964844,274.3399963378906,274.3399963378906,6005
274.4800109863281,274.4800109863281,274.3699951171875,274.3699951171875,5252
274.489990234375,274.489990234375,274.45001220703125,274.489990234375,6734
274.5400085449219,274.54998779296875,274.4700012207031,274.4700012207031,17759
274.5400085449219,274.54998779296875,274.489990234375,274.54998779296875,8683
274.4800109863281,274.5400085449219,274.4800109863281,274.5199890136719,10716
274.5400085449219,274.5400085449219,274.4800109863281,274.5,7357
274.67999267578125,274.67999267578125,274.5,274.5,101324
274.6000061035156,274.67999267578125,274.54998779296875,274.67999267578125,4173
274.6099853515625,274.6600036621094,274.54998779296875,274.6000061035156,7256
274.5400085449219,274.6099853515625,274.5,274.6099853515625,10866
274.2900085449219,274.5400085449219,274.2900085449219,274.5400085449219,17502
274.3999938964844,274.4599914550781,274.260009765625,274.44000244140625,8520
274.54998779296875,274.54998779296875,274.3999938964844,274.3999938964844,26915
274.54998779296875,274.6000061035156,274.5,274.54998779296875,10111
274.54998779296875,274.54998779296875,274.489990234375,274.489990234375,11079
274.6000061035156,274.6000061035156,274.5199890136719,274.54998779296875,10368
274.6400146484375,274.67999267578125,274.5899963378906,274.6000061035156,21285
274.5799865722656,274.6099853515625,274.44000244140625,274.6099853515625,204521
274.5400085449219,274.57000732421875,274.45001220703125,274.57000732421875,15082
274.55999755859375,274.55999755859375,274.45001220703125,274.5400085449219,4311
274.55999755859375,274.55999755859375,274.4599914550781,274.5,3827
274.5799865722656,274.6499938964844,274.55999755859375,274.55999755859375,11102
274.6400146484375,274.6400146484375,274.5400085449219,274.5799865722656,15337
274.67999267578125,274.67999267578125,274.6499938964844,274.6499938964844,5884
274.70001220703125,274.70001220703125,274.6199951171875,274.6199951171875,13289
274.6700134277344,274.70001220703125,274.6400146484375,274.70001220703125,9955
274.70001220703125,274.75,274.67999267578125,274.70001220703125,25679
274.7300109863281,274.75,274.67999267578125,274.67999267578125,8998
274.739990234375,274.75,274.7300109863281,274.7300109863281,7994
274.67999267578125,274.70001220703125,274.6400146484375,274.70001220703125,11662
274.75,274.75,274.6700134277344,274.67999267578125,13552
274.7099914550781,274.75,274.7099914550781,274.75,5145
274.75,274.75,274.739990234375,274.739990234375,16126
274.7300109863281,274.75,274.7200012207031,274.75,6314
274.75,274.75,274.70001220703125,274.7300109863281,10718
274.75,274.75,274.7300109863281,274.739990234375,3237
274.7099914550781,274.75,274.67999267578125,274.75,9365
274.7300109863281,274.75,274.6600036621094,274.67999267578125,5968
274.6700134277344,274.70001220703125,274.6000061035156,274.70001220703125,12810
274.489990234375,274.6300048828125,274.489990234375,274.6000061035156,38113
274.3900146484375,274.4100036621094,274.3900146484375,274.4100036621094,19133
