Price,Close,High,Low,Open,Volume
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI
Datetime,,,,,
2026-03-10 04:41:00+00:00,24131.849609375,24139.80078125,24131.099609375,24139.44921875,0
2026-03-10 04:42:00+00:00,24134.650390625,24141.599609375,24131.099609375,24131.80078125,0
2026-03-10 04:43:00+00:00,24134.44921875,24139.80078125,24132.69921875,24135.0,0
2026-03-10 04:44:00+00:00,24151.05078125,24160.94921875,24134.19921875,24134.19921875,0
2026-03-10 04:45:00+00:00,24187.75,24195.150390625,24149.30078125,24151.5,0
2026-03-10 04:46:00+00:00,24197.849609375,24197.849609375,24183.30078125,24188.94921875,0
2026-03-10 04:47:00+00:00,24211.25,24213.69921875,24190.25,24197.94921875,0
2026-03-10 04:48:00+00:00,24203.75,24211.80078125,24197.94921875,24210.69921875,0
2026-03-10 04:49:00+00:00,24204.55078125,24206.849609375,24197.900390625,24203.19921875,0
2026-03-10 04:50:00+00:00,24197.80078125,24208.19921875,24193.5,24205.0,0
2026-03-10 04:51:00+00:00,24181.94921875,24197.55078125,24180.650390625,24197.55078125,0
2026-03-10 04:52:00+00:00,24164.0,24182.69921875,24159.69921875,24181.849609375,0
2026-03-10 04:53:00+00:00,24157.25,24163.94921875,24151.900390625,24163.94921875,0
2026-03-10 04:54:00+00:00,24169.0,24171.849609375,24156.25,24156.25,0
2026-03-10 04:55:00+00:00,24169.30078125,24175.94921875,24168.69921875,24169.19921875,0
2026-03-10 04:56:00+00:00,24160.0,24168.80078125,24160.0,24168.30078125,0
2026-03-10 04:57:00+00:00,24156.19921875,24163.55078125,24154.55078125,24160.55078125,0
2026-03-10 04:58:00+00:00,24175.69921875,24175.94921875,24153.19921875,24157.25,0
2026-03-10 04:59:00+00:00,24160.599609375,24175.150390625,24160.400390625,24175.150390625,0
2026-03-10 05:00:00+00:00,24166.25,24168.650390625,24159.099609375,24160.30078125,0
2026-03-10 05:01:00+00:00,24177.94921875,24177.94921875,24163.0,24165.69921875,0
2026-03-10 05:02:00+00:00,24186.55078125,24188.19921875,24173.400390625,24177.44921875,0
2026-03-10 05:03:00+00:00,24204.94921875,24204.94921875,24181.94921875,24185.69921875,0
2026-03-10 05:04:00+00:00,24200.30078125,24207.30078125,24191.5,24205.05078125,0
2026-03-10 05:05:00+00:00,24204.25,24205.05078125,24191.69921875,24200.30078125,0
2026-03-10 05:06:00+00:00,24200.44921875,24209.150390625,24200.400390625,24204.05078125,0
2026-03-10 05:07:00+00:00,24190.44921875,24201.5,24185.44921875,24200.69921875,0
2026-03-10 05:08:00+00:00,24193.0,24195.25,24187.80078125,24190.19921875,0
2026-03-10 05:09:00+00:00,24193.19921875,24195.099609375,24189.05078125,24192.94921875,0
2026-03-10 05:10:00+00:00,24204.69921875,24215.849609375,24191.5,24192.69921875,0
2026-03-10 05:11:00+00:00,24214.5,24215.25,24203.900390625,24204.599609375,0
2026-03-10 05:12:00+00:00,24216.5,24221.44921875,24214.75,24215.0,0
2026-03-10 05:13:00+00:00,24216.849609375,24224.80078125,24214.94921875,24217.80078125,0
2026-03-10 05:14:00+00:00,24217.05078125,24219.0,24210.80078125,24216.19921875,0
2026-03-10 05:15:00+00:00,24222.30078125,24229.05078125,24217.0,24217.19921875,0
2026-03-10 05:16:00+00:00,24218.80078125,24221.900390625,24213.25,24220.94921875,0
2026-03-10 05:17:00+00:00,24224.69921875,24224.69921875,24216.0,24218.349609375,0
2026-03-10 05:18:00+00:00,24231.099609375,24233.19921875,24222.5,24223.94921875,0
2026-03-10 05:19:00+00:00,24222.400390625,24232.30078125,24221.349609375,24231.349609375,0
2026-03-10 05:20:00+00:00,24224.099609375,24224.099609375,24217.650390625,24222.19921875,0
2026-03-10 05:21:00+00:00,24214.0,24225.80078125,24214.0,24224.150390625,0
2026-03-10 05:22:00+00:00,24203.05078125,24213.69921875,24202.0,24213.099609375,0
2026-03-10 05:23:00+00:00,24192.599609375,24203.19921875,24184.94921875,24202.44921875,0
2026-03-10 05:24:00+00:00,24192.05078125,24193.400390625,24186.05078125,24192.150390625,0
2026-03-10 05:25:00+00:00,24188.94921875,24196.900390625,24188.94921875,24192.19921875,0
2026-03-10 05:26:00+00:00,24179.099609375,24189.5,24178.80078125,24188.05078125,0
2026-03-10 05:27:00+00:00,24188.400390625,24189.55078125,24173.94921875,24178.25,0
2026-03-10 05:28:00+00:00,24197.150390625,24197.25,24188.05078125,24188.05078125,0
2026-03-10 05:29:00+00:00,24197.400390625,24198.80078125,24193.0,24196.849609375,0
2026-03-10 05:30:00+00:00,24205.099609375,24205.75,24196.94921875,24197.599609375,0
2026-03-10 05:31:00+00:00,24200.19921875,24207.30078125,24193.25,24205.650390625,0
2026-03-10 05:32:00+00:00,24189.44921875,24201.5,24189.44921875,24199.849609375,0
2026-03-10 05:33:00+00:00,24198.599609375,24200.30078125,24186.599609375,24187.25,0
2026-03-10 05:34:00+00:00,24202.650390625,24205.5,24198.44921875,24198.69921875,0
2026-03-10 05:35:00+00:00,24207.650390625,24208.849609375,24201.44921875,24202.80078125,0
2026-03-10 05:36:00+00:00,24210.650390625,24215.75,24208.75,24208.75,0
2026-03-10 05:37:00+00:00,24200.5,24213.099609375,24196.75,24210.75,0
2026-03-10 05:38:00+00:00,24207.69921875,24208.44921875,24200.44921875,24200.44921875,0
2026-03-10 05:39:00+00:00,24219.599609375,24219.599609375,24207.5,24208.900390625,0
2026-03-10 05:40:00+00:00,24219.69921875,24222.0,24216.19921875,24219.099609375,0
2026-03-10 05:41:00+00:00,24221.5,24224.650390625,24218.849609375,24219.599609375,0
2026-03-10 05:42:00+00:00,24222.099609375,24224.599609375,24217.55078125,24221.650390625,0
2026-03-10 05:43:00+00:00,24222.05078125,24224.400390625,24219.19921875,24222.5,0
2026-03-10 05:44:00+00:00,24222.400390625,24224.94921875,24217.900390625,24221.75,0
2026-03-10 05:45:00+00:00,24240.75,24243.5,24221.75,24222.19921875,0
2026-03-10 05:46:00+00:00,24231.900390625,24241.099609375,24231.55078125,24241.099609375,0
2026-03-10 05:47:00+00:00,24224.55078125,24234.0,24223.19921875,24231.44921875,0
2026-03-10 05:48:00+00:00,24221.44921875,24225.80078125,24220.05078125,24224.400390625,0
2026-03-10 05:49:00+00:00,24210.25,24220.94921875,24208.30078125,24220.599609375,0
2026-03-10 05:50:00+00:00,24214.400390625,24215.69921875,24206.099609375,24210.80078125,0
2026-03-10 05:51:00+00:00,24231.400390625,24231.400390625,24214.0,24214.30078125,0
2026-03-10 05:52:00+00:00,24232.75,24233.05078125,24229.349609375,24231.349609375,0
2026-03-10 05:53:00+00:00,24228.349609375,24233.849609375,24227.69921875,24232.150390625,0
2026-03-10 05:54:00+00:00,24233.30078125,24234.44921875,24228.80078125,24228.849609375,0
2026-03-10 05:55:00+00:00,24224.900390625,24237.69921875,24224.900390625,24233.400390625,0
2026-03-10 05:56:00+00:00,24223.30078125,24230.400390625,24221.44921875,24226.5,0
2026-03-10 05:57:00+00:00,24220.19921875,24224.55078125,24216.94921875,24223.150390625,0
2026-03-10 05:58:00+00:00,24223.150390625,24224.25,24218.400390625,24219.75,0
2026-03-10 05:59:00+00:00,24229.0,24229.25,24221.5,24223.30078125,0
2026-03-10 06:00:00+00:00,24228.55078125,24240.150390625,24226.94921875,24229.55078125,0
2026-03-10 06:01:00+00:00,24233.94921875,24235.099609375,24228.44921875,24228.44921875,0
2026-03-10 06:02:00+00:00,24239.05078125,24239.650390625,24233.55078125,24233.55078125,0
2026-03-10 06:03:00+00:00,24243.099609375,24246.849609375,24240.80078125,24240.849609375,0
2026-03-10 06:04:00+00:00,24244.650390625,24246.05078125,24238.25,24242.44921875,0
2026-03-10 06:05:00+00:00,24248.55078125,24250.75,24244.80078125,24245.400390625,0
