Price,Close,High,Low,Open,Volume
Ticker,NIFTYBEES.NS,NIFTYBEES.NS,NIFTYBEES.NS,NIFTYBEES.NS,NIFTYBEES.NS
Datetime,,,,,
2026-03-10 04:20:00+00:00,273.6400146484375,273.6400146484375,273.4200134277344,273.6000061035156,68101
2026-03-10 04:21:00+00:00,273.5199890136719,273.6099853515625,273.4100036621094,273.54998779296875,90192
2026-03-10 04:22:00+00:00,273.510009765625,273.5799865722656,273.3500061035156,273.45001220703125,21456
2026-03-10 04:23:00+00:00,273.5799865722656,273.6000061035156,273.4200134277344,273.5400085449219,57687
2026-03-10 04:24:00+00:00,273.45001220703125,273.5799865722656,273.3599853515625,273.5799865722656,47966
2026-03-10 04:25:00+00:00,273.32000732421875,273.5,273.32000732421875,273.44000244140625,52545
2026-03-10 04:26:00+00:00,273.30999755859375,273.4200134277344,273.2300109863281,273.4200134277344,32104
2026-03-10 04:27:00+00:00,273.20001220703125,273.30999755859375,273.0400085449219,273.30999755859375,79722
2026-03-10 04:28:00+00:00,273.0400085449219,273.19000244140625,272.95001220703125,273.19000244140625,116018
2026-03-10 04:29:00+00:00,273.0799865722656,273.1000061035156,272.8999938964844,272.8999938964844,43459
2026-03-10 04:30:00+00:00,273.1499938964844,273.19000244140625,273.0799865722656,273.0799865722656,39929
2026-03-10 04:31:00+00:00,273.239990234375,273.239990234375,273.010009765625,273.1499938964844,29046
2026-03-10 04:32:00+00:00,273.3500061035156,273.3999938964844,273.29998779296875,273.29998779296875,26074
2026-03-10 04:33:00+00:00,273.44000244140625,273.45001220703125,273.3500061035156,273.3999938964844,6482
2026-03-10 04:34:00+00:00,273.4599914550781,273.4599914550781,273.3699951171875,273.3999938964844,27865
2026-03-10 04:35:00+00:00,273.4800109863281,273.5,273.44000244140625,273.44000244140625,21577
2026-03-10 04:36:00+00:00,273.4599914550781,273.489990234375,273.3999938964844,273.44000244140625,18026
2026-03-10 04:37:00+00:00,273.5,273.5,273.44000244140625,273.4599914550781,13551
2026-03-10 04:38:00+00:00,273.54998779296875,273.54998779296875,273.45001220703125,273.45001220703125,26642
2026-03-10 04:39:00+00:00,273.5899963378906,273.6199951171875,273.5400085449219,273.54998779296875,11221
2026-03-10 04:40:00+00:00,273.6099853515625,273.6099853515625,273.5400085449219,273.6099853515625,27723
2026-03-10 04:41:00+00:00,273.54998779296875,273.5799865722656,273.5,273.54998779296875,20063
2026-03-10 04:42:00+00:00,273.5400085449219,273.6099853515625,273.5,273.5,18349
2026-03-10 04:43:00+00:00,273.45001220703125,273.5799865722656,273.45001220703125,273.57000732421875,44311
2026-03-10 04:44:00+00:00,273.6099853515625,273.6499938964844,273.45001220703125,273.45001220703125,18389
2026-03-10 04:45:00+00:00,273.95001220703125,273.95001220703125,273.5,273.6000061035156,71025
2026-03-10 04:46:00+00:00,273.95001220703125,273.95001220703125,273.8999938964844,273.94000244140625,24078
2026-03-10 04:47:00+00:00,274.1499938964844,274.1499938964844,273.94000244140625,273.94000244140625,80608
