strategy,trades,wins,losses,win_rate_pct,total_pnl,timeframe,data_start,data_end,run_at_utc
DEMAND_SUPPLY,5,2,3,40.0,2.4,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-07 16:15:03
ONE_TRADE_DAY,5,3,2,60.0,3996.1,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-07 16:15:03
BTST,3,2,1,66.67,3970.4,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-07 16:15:03
BREAKOUT,4,3,1,75.0,4007.2,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-07 16:30:04
DEMAND_SUPPLY,5,2,3,40.0,2.4,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-07 16:30:04
ONE_TRADE_DAY,5,3,2,60.0,3996.1,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-07 16:30:04
BTST,3,2,1,66.67,3970.4,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-07 16:30:04
BREAKOUT,4,3,1,75.0,4007.2,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-07 16:45:03
DEMAND_SUPPLY,5,2,3,40.0,2.4,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-07 16:45:03
ONE_TRADE_DAY,5,3,2,60.0,3996.1,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-07 16:45:03
BTST,3,2,1,66.67,3970.4,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-07 16:45:03
BREAKOUT,4,3,1,75.0,4007.2,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-07 17:00:12
DEMAND_SUPPLY,5,2,3,40.0,2.4,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-07 17:00:12
ONE_TRADE_DAY,5,3,2,60.0,3996.1,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-07 17:00:12
BTST,3,2,1,66.67,3970.4,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-07 17:00:12
BREAKOUT,4,3,1,75.0,4007.2,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-07 17:15:03
DEMAND_SUPPLY,5,2,3,40.0,2.4,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-07 17:15:03
ONE_TRADE_DAY,5,3,2,60.0,3996.1,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-07 17:15:03
BTST,3,2,1,66.67,3970.4,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-07 17:15:03
BREAKOUT,4,3,1,75.0,4007.2,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-07 17:30:02
DEMAND_SUPPLY,5,2,3,40.0,2.4,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-07 17:30:02
ONE_TRADE_DAY,5,3,2,60.0,3996.1,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-07 17:30:02
BTST,3,2,1,66.67,3970.4,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-07 17:30:02
BREAKOUT,4,3,1,75.0,4007.2,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 04:45:04
DEMAND_SUPPLY,5,2,3,40.0,2.4,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 04:45:04
ONE_TRADE_DAY,5,3,2,60.0,3996.1,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 04:45:04
BTST,3,2,1,66.67,3970.4,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 04:45:04
BREAKOUT,4,3,1,75.0,4007.2,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 05:00:02
DEMAND_SUPPLY,5,2,3,40.0,2.4,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 05:00:02
ONE_TRADE_DAY,5,3,2,60.0,3996.1,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 05:00:02
BTST,3,2,1,66.67,3970.4,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 05:00:02
BREAKOUT,4,3,1,75.0,4007.2,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 05:15:02
DEMAND_SUPPLY,5,2,3,40.0,2.4,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 05:15:02
ONE_TRADE_DAY,5,3,2,60.0,3996.1,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 05:15:02
BTST,3,2,1,66.67,3970.4,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 05:15:02
BREAKOUT,4,3,1,75.0,4007.2,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-08 05:30:02
